Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Brotherhood of the Black Pharaoh (RP)	Repointed	RP111	Adventure	Corrupt Adventure		6	3												R	"The Brotherhood is most exclusive. First, you must find a sponsor (an ALLY who knows Arabic). You must aquire a personal collection of Mythos ARTIFACTS or TOMES that required at least 7 Sanity points to comprehend. You must have travelled to at least 6 different LOCATIONS in the Middle East. You are now a member of the Brotherhood of the Black Pharoah Secret Socity"
Camp Bright Star (RP)	Repointed	RP112	Adventure	Mythos Experience		7	2												C	"It was exciting to drive through the COUNTRY to Camp Bright Star near the lake (a different COUNTRY/WATER LOCATION). We swam most of the day. That NIGHT we clustered around the fire, listening to ole' Zeke paint a DISTURBING PORTRAIT of a crazed SCIENTIST suffering from a PHOBIA and a PHILIA, who killed a girl at a nearby SITE. After, we can sneak into the old CEMETERY and find her grave. Hey, maybe we'll even see a MONSTER!"
Carter's Quest (RP)	Repointed	RP113	Adventure	Heroic Adventure		16	4												R	"Using CARTER'S CLOCK, you met up with fellow explorer RANDOLPH CARTER at a SITE during a FANTASTIC DREAM. He told you about THE SNAKE-DEN, near the LAIR of a MONSTER. To reach it you traveled on a ZEBRA or YAK (choose 1) and met a CORRUPT CULTIST who knew the way to the ISLAND LOCATION. You and your FRIEND went on to the CASTLE OF THE GREAT ONES ON KADATH, and then retruned to tell your story to the KING."
Come Sail Away (RP)	Repointed	RP114	Adventure	Mythos Experience		6	2												C	"Living in a quiet KINGSPORT LOCATION, you thought your life would never change. But one day the old SEAMAN invited you to TRAVEL BY SEA to lands he said you had never even imagined. Saying good-bye to your old friend BASIL ELTON, you set sail across the starlit seas. After what seemed like months of drifting with the winds, you saw a LIGHTHOUSE in the distance, and finally put in at a PORT in the Dreamlands. "
Dark Horse (RP)	Repointed	RP115	Adventure	Corrupt Adventure		10	3												U	"This election, you'll help your candidate any way you can. You slip an IRS AUDITOR incriminating evidence on your opponent and fan MEDIA HYPERBOLE to paint a DISTURBING PORTRAIT of him. You summon a HOUND OF TINDALOS to eliminate his campaign team and your agents, the MEN IN BLACK, fill their places. You accompany your candidate to campaign stops (LOCATIONS in 3 different Subregions). In the end, you'll vote CTHULHU FOR PRESIDENT. Why settle for the lesser evil"
Day the Sun Stood Still (RP)	Repointed	RP116	Adventure	Corrupt Adventure		8	3												C	"The world can change in the BLINK OF AN EYE, especially with help from someone like you. A premonition alerted you to an UNEXPECTED ECLIPSE, visible only from 3 different COUNTRY LOCATIONS. You have long awaited this moment! Searching through the ZANTHU TABLETS you learn how to CALL THE UNNAMED ONE to loose Ye Liveliest Awfullness (a MONSTER) upon the rest of the world."
Doomed if You Do (RP)	Repointed	RP117	Adventure	Corrupt Adventure		10	3												C	"The power must be yours! You listened to the whispers of your LIVING DEAD ALLY and became obsessed with learning the secrets of the Gods. Searching all of MNAR (3 different locations), you finally discovered an elusive BEING OF IB who would teach you the rites to propitiate the Great Old One BOKRUG. In the favor of the god, you were taught the SPELL that can only be found in the TOME with a Dream Icon."
If I Ran the Zoog (RP)	Repointed	RP118	Adventure	Heroic Adventure		18	4												U	"I'd galumpf on the back of my big hairy Yak. To travel  so far by the light of a STAR, to the dark OPAL THRONE where the KING sits alone Ccorralling, at noonith, a burrowing VOONITH. And in the VALE OF PNOTH snag a big BUOPOTH. I would capture a GUG in the TEMPLE OF BOKRUG, and then to the glen where they're dancing to fugues those whirlingly, twirlingly, ANGRY ZOOGS."
Look to the Future (RP)	Repointed	RP119	Adventure	Mythos Experience		7	3												C	"Deep within the SMUGGLER'S TUNNELS a madman (CORRUPT ALLY) shatters the bonds of Time with new discovery - a crude TIME MACHINE. A wondrous future awaits exploitation! After MUGGING a guard, he breaks into 2 GOVERNMENT ARTIFACT LOCATIONS where he discovers bizarre machines (2 NEW AEON ARTIFACTS) and a NEW AEON ALLY who may well be his descendent."
Lost in the Catacombs (RP)	Repointed	RP120	Adventure	Heroic Adventure		10	3												C	"Catacombs and other burial mounds have fascinated humankind for aeons. Growing up near the old Roman cities of Europe, you frequently sneak into those forbidden passages. In the CATACOMBS OF ROME or the CATACOMBS BENEATH PARIS you discover that Death is not always final, as a SKELETON, ZOMBIE, and MUMMY claw their way after you. Even if you flee to a nearby CHURCH, you dicover that their master, a VAMPIRE awaits. Only if you live until the DAWN OF A NEW DAY do you survive"
Make Money Fast (RP)	Repointed	RP121	Adventure	Corrupt Adventure		15	5												U	"The OBSESSIVE/COMPULSIVE types are always collecting something. Take, for example, those collectable Mythos cards such as great CTHULHU, evil HERBERT WEST, and the mysterious KITAB AL-AZIF. Keep them out of the harmful rays of DIRECT SUNLIGHT and avoid the UNEXPECTED CALAMITY, and you might find a sucker buyer through a SURPRISE MEETING. They might even bring you enough money to put yourself through a UNIVERSITY."
Make Them Pay! (RP)	Repointed	RP122	Adventure	Corrupt Adventure		8	2												C	"Life stinks! Up before DAYBREAK, but your car had a flat and you had to HITCH A RIDE. Your deliveries to the 3 different CITY LOCATIONS were late because of traffic. On your last delivery, a BLACKOUT hit and you got lost looking for the BUSINESS. Now they've fired you! They better watch out! You're one of the SERVANTS OF THE SILVER TWILIGHT, and you'll get even! (an EVENT costing Sanity)"
Moon Quest (RP)	Repointed	RP123	Adventure	Corrupt Adventure		11	4												U	"One NIGHT, as the Moon's silvery light slides across your sleeping face, you are met by the KING OF ILEK-VAD, who asks you to accompany him on his journey to capture an exotic creature on the Moon. To get there, you must meet with a disreputable MERCHANT in an unsavoury LOCATION (any Location that costs Sanity). He takes the two of you in the hold of his noisome BLACK GALLEY to the FAR SIDE OF THE MOON, where you encounter a MOON-BEAST and return with to his kingdom."
One Small Step (RP)	Repointed	RP124	Adventure	Heroic Adventure		11	4												U	"By the turn of the millennium our space agencies (KENNEDY SPACE CENTER or EUROPEAN SPACE AGENCY) began exploring the cosmos (SHUTTLE ICARUS and 2 different SPACE LOCATIONS). But even the PROPHECIES OF NOSTRADAMUS could not predict what we found. There are races of MONSTERS 2 Greater and 2 Lesser) inhabiting those nether reaches, ruled by their monstrous dark lords (a GREAT OLD ONE or OUTER GOD). Is there, then, any future for humankind?"
Operation Nemesis (RP)	Repointed	RP125	Adventure	Heroic Adventure		6	2												C	"Good Morning, DETECTIVE. Here at FBI Headquarters (J. EDGAR HOOVER BUILDING ) we are about to launch Operation NEMESIS. Your mission is to identify a suspected CULTIST, currently a member of a UNITED NATIONS delegation. We believe his ultimate destination to be our nation's Capitol (1 WASHINGTON D.C. Location), but beware: he is known to summon a MONSTER to do his bidding. The accompanying TOME will provide you with clues to his motives. Good Luck."""
Out Of My Mind (RP)	Repointed	RP126	Adventure	Quest		13	5												R	"Arriving in a simple brown wrapper, the antique book read PNAKOTIC MANUSCRIPTS across the plain cover. For hours I read, about strange creatures called YITHIANs who possessed singular mental powers (YITHIAN MENTAL CONTACT and YITHIAN PSYCHIC POSSESSION). Apparently, they can travel through time at will, stepping from here (WAKING WORLD LOCATION) into the future (NEW AEON LOCATION) as easily as we step from room to room. They could be with us now!"
Perchance… (RP)	Repointed	RP127	Adventure	Fantastic Dream		4	1												C	"It was a quiet DAY as you sat dreamily enjoying the WINE OF PNOTH that your friend had brought back from her trip to the old country. Then in what seemed an instant, the sky turned black; a TWISTER ripped your HOUSE into the sky and dropped you down outside a glittering PALACE. Luckily your house crushed a MONSTER. What an EVENT! Was it all a dream?"
Plan 9 (RP)	Repointed	RP128	Adventure	Mythos Experience		7	2												U	"Here you are a world-famous actor, and all your agent can get you is a B-MOVIE SCRIPT. You've seen this plot before in a dime-store TOME: the SCIENTIST or PROFESSOR invents a goofy-looking TIME MACHINE, which spews forth a shaggy MONSTER. The monster runs rampant, using its hypnotic abilities to ENTHRALL VICTIMS across the world (3 LOCATIONS in different subregions). Only Our Hero and his sidekick, TOODEE-6, can save humankind."
Questionable Judgement (RP)	Repointed	RP129	Adventure	Mythos Experience		4	1												F	"It all begain in a boring LIBRARY. All those books waiting to be sorted. There must be a better way… but wait … that must TOME (in a Language other than English). Wow, is it old! It reveals 2 GATE LOCATIONS (in different cities) where one can summon a MONSTER. The tome also contains a blasphemous SPELL, completing the training of a new CORRUPT CULTIST"
Save The World! (RP)	Repointed	RP130	Adventure	Heroic Adventure		12	3												C	"Following a MYTHOS EXPERIENCE, you spy an evil CORRUPT ALLY down by THE DOCKS loading an akward container onto a rusty TRAMP STEAMER. Stealing aboard, you search his cabin, finding 2 odd TOMES and the ORNE FORMULA & DIAGRAMS. Hide during the DAY. The ship finally anchors at an unknown ISLAND. At a clearing, you develop a PHOBIA from their weird chanting but, screaming, you end their unholy ritual with WEAPON blazing, slaying the foul CULTIST FROM THE PAST. Your quick ELDER SIGN seals the portal just as a GREAT OLD ONE or OUTER GOD begins to manifest. The world is saved... or is it? "
Searching for Laban Shrewsbury (RP)	Repointed	RP131	Adventure	Heroic Adventure		9	3												F	"A LETTER FROM A FRIEND reveals that noted explorer LABAN SHREWSBURY is missing. The ARKHAM POLICE DEPARTMENT has been notified, but Detective LUTHER HARDEN has had no luck in his search. He thinks Dr. Shrewsbury may have been captured by a HUNTING HORROR. After Harden gets his WEAPON, the search lasts into the EVENING before Dr. Shrewbury is found trapped in the OLD CONGREGATIONAL CHURCH"
Secrets of the Silver Twilight (RP)	Repointed	RP132	Adventure	Corrupt Adventure		4	2												U	"The Silver Twilight demands that you find and translate a TOME (in a language that your Investigator does not know), and learn at least two SPELLS with different Icons. Come with 3 ALLIES to our SILVER TWILIGHT LODGE and, before JOHN SCOTT or CARL STANFORD, summon any Greater MONSTER."
" You are now a member of the Silver Twilight Secret Society"""																				
Seeking Everlasting Life I (RP)	Repointed	RP133	Adventure	Corrupt Adventure		3	1												U	"After AN UNEXPECTED CALAMITY claims the life of a STEADFAST ALLY (who must be in your Story Deck), you become obsessed with your own mortality."
"Ignoring the sage advice of two STEADFAST ALLIES, you shun their company and instead fall in with a CORRUPT ALLY offering the secret of Everlasting Life. He reveals the existence of this exclusive goal by showing you a TOME that bears the Skull icon. Here you discover the RESURRECTION spell. Your dream is possible! Your goal is within reach! (to be continued...)"""																				
Seeking Everlasting Life II (RP)	Repointed	RP134	Adventure	Corrupt Adventure		8	3												U	"After completing the SEEKING EVERLASTING LIFE I Adventure, you must now find a greater teacher (and more dangerous knowledge). Knowing the RESURRECTION spell now find a GRECIAN LEKYTHOS containing the ""essential saltes"" of an ancient magus, and successfully use the spell and artifact to RESURRECT A CULTIST FROM THE PAST during the NEW MOON. He reveals that you will find everlasting life only by devoting yourself utterly to a GREAT OLD ONE or OUTER GOD"
Summon Great Cthulhu (RP)	Repointed	RP135	Adventure	Corrupt Adventure		14	5												R	"In seeking ultimate power one sometimes finds ultimate power. As a member of a SECRET SOCIETY, you must gather 3 pieces of the  R'LYEH DISK. Then, TRAVEL to the lost island of R'LYEH. By the light of the WAXING MOON invoke CTHULHU with your monstrous chant.( You must play this Adventure card while CTHULHU is in pla. "
"From this moment on, discard or bury the CTHULHU card as a result of card play only."""																				
The Art of Magic (RP)	Repointed	RP136	Adventure	Corrupt Adventure		4	1												U	"Learning the Art of Magic is not simple. You must visit a LIBRARY, a SITE, and a COUNTRY GATE LOCATION to gain knowledge. Meet with 2 ALLIES that are either Spiritualists, Occultists, Priests, or Dreamers. Only then will you be able to translate a TOME with a Dream Icon, and learn a SPELL. "
The Auction (RP)	Repointed	RP137	Adventure	Mythos Experience		7	2												U	"Auctions are frequently good places to find extraordinary bargains for extraordinary items. Beginning in any CITY LOCATION  in Lovecraft Country, travel to THE AUCTION HOUSE in Vienna, Austria. Before the auction begins, find THIEVES IN THE ATTIC, and have a POLICE INVESTIGATION. Then, bid for an ARTIFACT or TOME that costs you 2 Sanity Points. Bring the item back to a second, different, CITY LOCATION in Lovecraft Country"
The Cruise (RP)	Repointed	RP138	Adventure	Mythos Experience		5	2												U	"Begin in a CITY/WATER LOCATION, you TRAVEL BY SEA to an ISLAND and there speak with the STEADFAST CHIEF. Then, braving a storm, again TRAVEL BY SEA as you return to a different City Location."
The Curious Parcel (RP)	Repointed	RP139	Adventure	Mythos Experience		4	1												C	"Old, eccentric Uncle Eliott has done it this time. Now he's disappeared, and is presumed dead by the authorities. But wait... a package today has been delivered to you! Find a TOME in a language other than English. Learn at least ONE SPELL in that Tome. Travel to a LIBRARY, a CEMETERY, and a GATE LOCATION (3 different locations). Finally meet 2 ALLIES that are either Authors, Scholars, Professors, or Artists."
The Dunwich Horror (RP)	Repointed	RP140	Adventure	Heroic Adventure		15	5												R	"Something is amiss in Dunwich. Accompanied by the PROFESSOR you TRAVEL BY LAND to 2  different DUNWICH LOCATIONS. There you spot LAVINIA WHATELEY, OLD MAN WHATLEY, WILBUR WHATELEY, and the SON OF YOG-SOTHOTH on SENTINEL HILL during the FULL MOON. Things have gone too far! You recover the NECRONOMICON and flee with it back to MISCATONIC UNIVERSITY."
The Expedition (RP)	Repointed	RP141	Adventure	Heroic Adventure		8	2												U	"When you left this MISCATONIC UNIVERSITY Location with your 2 ALLIES, you dreamt only of the glory of exploration. What you found however, was a harrowing voyage of TRAVEL BY SEA, a STORM of suprising strength, the UNEXPECTED CALAMITY of a SHIPWRECK, and the lost years in AMNESIA. Waking at a SITE, you discovered that wierd old TOME - the only possession you salvaged when forced to flee from THREE MONSTERS."
The Gathering (RP)	Repointed	RP142	Adventure	Heroic Adventure		6	2												C	"Before any great quest, there must first come a gathering of forces. To unite your companions, the CHIEF, the PRIEST, the MERCHANT, and the DREAMER, you must journey to 3 LOCATIONS in different cities, towns or villages. To equip yourself, you must find your destined WEAPON and the ACCOUTERMENTS OF HEROES. Finally, to purify yourself, you must visit a holy place (a CHURCH or a TEMPLE). You are ready... (When this card is played, you may take any one Chief, Priest, Merchant, or Dreamer from your Story Deck and return it to play.)"
The Great Epidemic (RP)	Repointed	RP143	Adventure	Heroic Adventure		9	2												R	"That year, a terrible plague fell on Arkham. Assisting the DOCTOR, you struggle 3 DAYS against the worst TYPHOID EPIDEMIC in memory. You marvel at the skill of one student in particular, HERBERT WEST, who works tirelessly, often late into the NIGHT. Many in town die, including the DOCTOR (he must be in your Story Deck). Later, a mad ZOMBIE-thing runs amok and kills several people. It is now incarcerated at a SANITARIUM"
The Hero's Journey (RP)	Repointed	RP144	Adventure	Heroic Adventure		6	2												U	"After THE GATHERING, your heroic journey can begin. You travel extensively, using 2 TRAVEL EVENTS, to track the evil that lies across the land. You even descend to the UNDERWORLD LOCATION. From this realm of death you return reborn, emerging at any non-Underworld LOCATION. Finally, finding the evil that plagues the land (any GREAT OLD ONE or OUTER GOD), you dispatch it! A new DAY dawns... (When this card is played, Bury all Great Old Ones and Outer Gods currently in play. Then gain the Sanity bonus for playing this card.)"
The Interesting Shop (RP)	Repointed	RP145	Adventure	Mythos Experience		3	1												C	Spend the day  searching for that just-right knick-knack to adorn your HOUSE. Visit 3 different BUSINESS/ARTIFACT or BUSINESS/TOME LOCATIONS and find an (ARTIFACT or TOME)  that costs Sanity.
The Meow Ceremony (RP)	Repointed	RP146	Adventure	Heroic Adventure		9	3												C	"Catastrophe! Who's been killing the CATS OF ULTHAR? Who left that corpse at THE MARKET-PLACE, or the other at THE WHITE WHALE INN? Is it the hated CAT FROM SATURN, as some suggest? The CAT CHIEFTAN calls a meeting of all cats, and they converge upon the HOVEL OF THE CAT HATERS, putting an end to this horror with the PETITION OF MENES."
The Mystery at Martin's Beach (RP)	Repointed	RP147	Adventure	Mythos Experience		9	3												F	"There is a big party for a STEADFAST ALLY at MARTIN'S BEACH, but it ends in horror when THE MARTIN'S BEACH MONSTER rises from the bowels of the sea. All those present develop a terrible PHOBIA. They must now regularly take DR HAMMOND'S NERVE & BRAIN TABLETS to stop their nightmares of CTHULHU RISING"
The Outsider (RP)	Repointed	RP148	Adventure	Heroic Adventure		6	2												R	"A eerie CORRUPT CULTIST moved into the HOUSE with a Gate at the edge of town. You spied him hauling 3 ARTIFACTS or TOMES into the storied place by the light of the WAXING MOON. Rushing back to the BUSINESS, the TOWNSFOLK RIOT in response to your warning, interrupting his foul ritual IN THE NICK OF TIME"
The Price (RP)	Repointed	RP149	Adventure	Corrupt Adventure		10	3												F	"By summoning a SERVITOR MONSTER, a CORRUPT CULTIST captures a STEADFAST ALLY from a KINSGPORT LOCATION. Taking him to dark N'KAI, the Cultist uses an ENCHANTED KNIFE for his unspeakable ceremony. From the smoke of burning incense, ancient TULZSCHA is brought forth."
The Royal Geographic Society (RP)	Repointed	RP150	Adventure	Heroic Adventure		8	2												U	"Tell us tales of (one Location each) a Lovecraft Country SITE, a LOCATION in Europe with Catacombs in its Title, and a LOCATION in the Middle East with Tomb in its title.  We expect your circle of friends to include  AUTHORS, ARTISTS, a SCHOLAR or PROFESSOR, and an INVENTOR or EXPLORER (4 total ALLIES). Your fine gift to our humble Lodge of a scandalously dangerous ARTIFACT or TOME costing at least 1 Sanity point only proves your generosity. Welcome to the Society!"
The Secret of Power & Glory is Yours (RP)	Repointed	RP151	Adventure	Mythos Experience		4	2												U	"If one is diligent and discovers the proper sources of knowledge, one can learn to master the universe. But you can only achieve your goal if you study and travel the world. Visit 5 different GATE LOCATIONS. Find a TOME of forbidden knowledge featuring the EYE ICON. Find an ALLY that costs you Sanity"
The Sorcerer's Apprentice (RP)	Repointed	RP152	Adventure	Fantastic Dream		12	3												R	"You should never have messed with the Master's TOME (in Hyperborean)! How could you know that the SPELL would sweep you away to THE ENCHANTED WOOD? You may never have escaped those dancing mushrooms if the pink ELEPHANT CARAVAN hadn't shown up. Just when you thought you were safe, tittering NIGHTGAUNTS carried you off to the PEAKS OF THOK. There a giant demon reveled amongst the flames threatening a nearby TOWN. If it were not for the monks of the TEMPLE OF LOVELINESS you would never again have seen the light of DAY."
The Strange Case Of Charles Fort (RP)	Repointed	RP153	Adventure	Heroic Adventure		9	3												R	"Working with a PROFESSOR or INVENTOR, you uncover disturbing correlations between certain celestial phenomena (ALDEBARAN MOVES IN THE SKY, the FULL MOON, and an ECLIPSE) and earthly disasters including EARTHQUAKE, STORM, and DROUGHT. Field work takes you to 2 LOCATIONS in  different Regions."
The Temple (RP)	Repointed	RP154	Adventure	Mythos Experience		8	3												U	"The legend of Lost Atlantis thrive in every culture. Behind every legend, however, lies a kernel of truth. TRAVEL UNDERWATER (U-BOAT) from any WATER LOCATION to the LOST TEMPLE OF ATLANTIS, using the DISC OF THE HYADES to find your way. Go to the Temple, and find a TOME. Then, return to a different WATER LOCATION"
The Theron Marks Society (RP)	Repointed	RP155	Adventure	Heroic Adventure		3	1												U	"You are not alone. The Theron-Marks Society believes your wild stories of a MONSTER. We'll help you take care of that PHOBIA, as well. Our members will examine that odd TOME (in a Langugate your Investigator does not know) with that supposed SPELL that you found in the COUNTRY HOUSE. When you are feeling better, you and those TWO STEADFAST ALLIES are welcome to return as proud members of the Theron-Marks Society. One final thing - bring a WEAPON"
Today's Tabloid Headlines (RP)	Repointed	RP156	Adventure	Mythos Experience		8	3												U	Mysterious CROP CIRCLES Reveal Cancer Cure! Alien UFO Secretly Held at AREA 51! POLICE DETECTIVE Escapes Gruesome ALIEN ABDUCTION! Experimental ANTI-GRAVITY HARNESS Fails Secret Government Test. Alien Spacecraft Destroyed In Midair - 2 BUSINESSES Burned By Fallen Wreckage!
Two Cities and a Tale (RP)	Repointed	RP157	Adventure	Mythos Experience		4	1												F	"The journey began in a KINGSPORT LOCATION. From there, the TRAIN allowed passage to a NEW YORK Location where MRS SONIA LOVECRAFT introduced you to the famous AUTHOR. The evening was spent listening to his fascinating MONSTER stories. How could he make it all up?"
With Neighbours Like These…  (RP)	Repointed	RP158	Adventure	Mythos Experience		10	3												C	"You saw trouble coming when those folk moved into the HOUSE next door, from some odd COUNTRY LOCATION. The TELEVISION constantly blares, the eldest kid sawed through your fence with a CHAINSAW, and the young one built a homemade FRAGMENTATION GRENADE. The parents are nothing but T.V. ZOMBIES. You asked for a POLICE INVESTIGATION but when the husband found out he got his gun and began GOING POSTAL. Now, you learn that a GOVERNMENT agency is investigating you!"
Your First Big Story (RP)	Repointed	RP159	Adventure	Mythos Experience		5	2												C	"The local newspaper wants your story! To get this story published, you must include the following elements that show a disturbing trend: search for evidence in 3 GATE LOCATIONS located in tree different Cities or Towns or Villages; have known an ALLY that costs you Sanity; discover a TOME or ARTIFACT as evidence, and get back to a PRESS LOCATION while it is DAY."
Yuggoth Attacks! (RP)	Repointed	RP160	Adventure	Quest		15	5												R	"Like a SWARM OF INSECTS your hunting party of at least 2 different MI-GO landed near the naked ape settlement (TOWN or VILLAGE). The apes and their FAITHFUL HOUNDS put up a serious fight at the CHURCH, but were no match for your blazing rayguns (ENCHANTED WEAPON). The ape you captured, whose mind is now trapped in you MI-GO BRAINCASE, faces his worst NIGHTMARE and will fetch a high price back on YUGGOTH!"
