Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Discover Secret Cache 	Limited	Ltd413	Event																U	"Immediately play an Artifact or a Tome card regardless of current Location's attributes. You or your Allies must still know the proper Languages, if neede. Then, Bury this card. "
Drought 	Limited	Ltd414	Event																U	No Location bears the Water symbol while this card is in play. Bury any Storm event in play. Bury this card if any Storm Event is played. 
Earthquake 	Limited	Ltd415	Event				-1												U	"Take the top card of your opponent's Sotry Deck, and Bury it. If card revealed is not a Location, Bury it also. Repeat until a Location is revealed. Ignore Sanity gain/loss; may use Gate. Then, Bury this card. "
Eclipse of the Sun 	Limited	Ltd416	Event	Day															R	Bury any Night or Day Event in play. Bury this card if any Day or Night Event is played. 
Eosophobia 	Limited	Ltd417	Event	Phobia															C	: Fear of Dawn. Lose 1 Sanity point if it is Day and each time a Day Event is played. 
Flee to Special Room 	Limited	Ltd418	Event																C	"Cancel the effects of a card played since your last Turn that would otherwise cause you to Bury or Discard an Ally or Allies. Then, Bury this card"
Full Moon 	Limited	Ltd419	Event	Night															U	Bury any Day Event or any other Night Event in play. Bury this card if any Day or Night Event is played. 
Harney Reginald Opens Fire 	Limited	Ltd420	Event																C	"Bury opponent's Ally of up to 2 points (excluding the value of any Weapons). Then, Bury this card "
Hound of the Tindalos 	Limited	Ltd421	Event				-1												U	"Can only be used against Allies who are Inside. Bury any Ally of your opponent. Then, Bury this card "
Hurricane 	Limited	Ltd422	Event	Storm					Yes										U	Bury Travel by Air or Sea cards on top of any Story Deck (return to former Location). Ignore sanity/loss gain; no Gate use. Neither may be played. Every Location now bears the Water Attribute. Bury this card if any Day or Night Event is played 
Hydrophobia 	Limited	Ltd423	Event	Phobia															U	Fear of Water. Lose 1 Sanity point if you are currently in a Water Location and at the beginning of each Turn that you are in a Water Location 
Iatrophobia 	Limited	Ltd424	Event	Phobia															R	Fear of Doctors. Lose 1 Sanity point at the beginning of each turn that a Sanitarium is the top card of your Story Deck. You may not remove this Phobia in a Sanitarium 
In the Nick of Time 	Limited	Ltd425	Event																U	"Play this card, and the Pass by a player on an earlier Turn is voided - no Passes have been announced for the the current Round. You may immediately play a second card. "
Influenza 	Limited	Ltd426	Event	Epidemic			-1												C	"Randomly choose one Ally that opponent must Bury. Each other player's Investigator also in the same Region must also randomly Bury one Ally. Then, Bury this card "
Instability in the Mythos (v1)	Limited	Ltd427	Event																C	"If the target Threat contains more than three cards, including any Great Old One or Outer Gods, randomly Discard three. Then, Bury this card. "
Instability in the Mythos (v2)	Limited	Ltd428	Event																C	"If the target Threat contains more than three cards, randomly choose two cards and add them to your Threat as if you summoned them (place crosswise). Bury them in your opponent's Story Deck at the end of Combat. Then, Bury this card "
Monophobia 	Limited	Ltd429	Event	Phobia															C	Fear of Being Alone. Lose 1 Sanity point each time you lose an Ally 
New Moon 	Limited	Ltd430	Event	Day															U	"No effect on Day Events, but if none are in play then it is Day. Bury Night Events. Bury this card if any Day or Night Event is played "
Obsessive/Compulsive 	Limited	Ltd431	Event	Phobia					Yes										R	"Repeated behavior. At the beginning of each Round, lose 1 Sanity point and reshuffle your Mythos Deck and all discards "
Police investigation 	Limited	Ltd432	Event																C	"At the beginning of the next Round, the local police confiscate four cards from opponent's hand. Opponent draws four cards fewer than usual. Bury this card at the end of the Round "
Powerful Storms 	Limited	Ltd433	Event	Storm															C	Bury Travel By Air cards on top of any Story Deck (return to former Location). Ignore Sanity loss/gain; no Gate use. No Travel By Air cards may be played while this card is in play. Bury this card if any Day or Night Event is played 
Rhabdophobia 	Limited	Ltd434	Event	Phobia															U	Fear of being eaten. Lose 1 Sanity point any time that any player plays a card that begins a new Threat (not that is added to an existing Threat). 
Scotophobia 	Limited	Ltd435	Event	Phobia															C	"Fear of Darkness. Lose 1 Sanity point if it is Night, and each time a Night Event is played "
The Innsmouth Look	Limited	Ltd436	Event																R	"Move opponent's Ally to his or her Threat, face down. Ally functions as a Lesser Independent Monster for the remainder of this Round. Bury that Ally after Combat is concluded. Bury this card once the ally has been moved "
Thieves in your Attic 	Limited	Ltd437	Event																C	"Randomly select one Artifact card (not a Tome) that your opponent must Bury, then Bury this card "
Townsfolk Riot 	Limited	Ltd438	Event																U	"Your opponent's foul deeds are exposed. Even if already Walking, opponent must play a Travel Event or a new Location next Turn or suffer an attack worth 5 points. Allies may defend. Then, Bury this card "
Train (v1)	Limited	Ltd439	Event	Travel by Land																"On a following Turn, play a new Location in the same Region, right-side up on top of your Story Deck. Or, remain on the Train for a Turn to play an Ally card that could be played in this Region. (only 1 Ally per Train card played)."
Triskaidekaphobia 	Limited	Ltd440	Event	Phobia					Yes										R	Fear of the number 13. Lose 1 Sanity point at the beginning of each Turn that the cards in your hand number 13 
Typhoid 	Limited	Ltd441	Event	Epidemic			-1												C	Randomly choose and Bury half (round up) of your opponent's Allies. Any other players whose Investigators are in the same City as target are similary affected 
Waning Moon 	Limited	Ltd442	Event	Night															C	Bury any Day or Night Event in play. Bury this card if any Day or Night Event is played 
Waxing Moon 	Limited	Ltd443	Event	Night															C	Bury any Day or Night Event in play. Bury this card if any Day or Night Event is played 
Yithian Mental Contact 	Limited	Ltd444	Event				-1		Yes										U	"Your opponent changes his or her mind and Buries the card(s) that were just played or whose orientations were altered, except Adventure cards. Ignore any effects that those card(s) might otherwise have had "
Adventurous Dilettante	Limited	Ltd001	Investigator		"English, French"								12	20	16	13	7	7		"As your Turn one time during a Round, you may Discard up to two cards and replace them with new cards drawn from your Mythos Deck."
Brilliant Egyptian Archaeologist	Limited	Ltd002	Investigator		"Arabic, Greek"								12	20	19	13	5	6		
Capable Graduate Student	Limited	Ltd003	Investigator		English								14	20	15	13	3	5		
Cleric of Fading Faith	Limited	Ltd004	Investigator		"English, Latin"								12	20	14	13	5	5		"As your Turn one time during a Round, you may Discard one card and replace it with a new card drawn from your Mythos Deck."
Controversial French Mystic	Limited	Ltd005	Investigator		French								13	20	6	13	3	4		
Earnest Reporter	Limited	Ltd006	Investigator		English								15	20	11	13	4	5		
Exuberant Boston Flapper	Limited	Ltd007	Investigator		English								15	20	10	13	2	3		
Grizzled Boston Detective	Limited	Ltd008	Investigator		English								15	20	13	13	4	6		
Hardened Chicago Gangster	Limited	Ltd009	Investigator		English								15	20	5	13	5	6		
Haunted French Sculptor	Limited	Ltd010	Investigator		French								14	20	9	13	4	5		
Inquisitive Chinese Intellectual	Limited	Ltd011	Investigator		Chineese								15	20	18	13	4	5		
Mad German Inventor	Limited	Ltd012	Investigator		German								14	20	17	13	3	5		
Morose Veteran of the Great War	Limited	Ltd013	Investigator		English								16	20	7	13	5	7		
Pragmatic Hobo	Limited	Ltd014	Investigator		None								16	20	4			0		"At the beginning of each turn, draw (""beg"") one card from your Mythos Deck. You may not Pass (to try to end the Round). You must play or you must discard one card."
Proud Prussian Submariner	Limited	Ltd015	Investigator		German								15	20	8	13	4	5		
Respected New England Doctor	Limited	Ltd016	Investigator		"English, German"								13	20	20	13	6	6		"As your Turn one time during a Round, you may Discard one card and replace it with a new card drawn from your Mythos Deck."
Staid University Professor	Limited	Ltd017	Investigator		"English, Latin"								13	20	21	13	6	6		"As your Turn one time during a Round, you may Discard one card and replace it with a new card drawn from your Mythos Deck."
The Unfortunate Nephew	Limited	Ltd018	Investigator		English								14	20	12	13	4	4		"As your Turn one time during a Round, you may Discard one card and replace it with a new card drawn from your Mythos Deck."
197 E. Pickman Street 	Limited	Ltd501	Location	"Water, Inside, Artifact, Gate, City, House, "			-1				Lovecraft	Arkham							C	"May use this Gate more than once, but must pay this card's Sanity cost for each subsequent Gate use "
Ammi Pierce's Tottering Cottage 	Limited	Ltd502	Location	"Forest, Outside, Artifact, Country, House, "							Lovecraft	Miskatonic Valley							C	
Arkham Historical Society 	Limited	Ltd503	Location	"Water, Inside, Tome, City, Museum, Society, "			1				Lovecraft	Arkham							C	
Arkham Rare Books & Maps 	Limited	Ltd504	Location	"Water, Inside, Tome, Business, City, "							Lovecraft	Arkham							R	
Arkham Sanitarium 	Limited	Ltd505	Location	"Forest, Water, Inside , City, Sanitorium, "			6		Yes		Lovecraft	Arkham							U	"Reveal the top card of your Mythos Deck. If it is a Monster, it attacks immediately. Allies may defend you, then Discard it. Discard any other card drawn. You may remain here for one turn and Bury one Phobia "
Assembly Hall 	Limited	Ltd506	Location	"Water, Inside, Artifact, City, Site, "							Lovecraft	Innsmouth							C	
Asylum for the Deranged 	Limited	Ltd507	Location	"Forest, Inside, Gate, Country, Sanitorium, "			6		Yes		Lovecraft	Greenwood							U	"Reveal the top card of your Mythos Deck. If it is a Monster, it attacks you immediately. Allies may defend you, then Discard it. Discard any other cards drawn. You may remain here for one turn and Bury one Phobia "
Aylesbury 	Limited	Ltd508	Location	"Forest, Outside, Country, Village"			1				Lovecraft	Miskatonic Valley							C	
Bolton 	Limited	Ltd509	Location	"Forest, Outside, Tome, Gate, Country, Village"			1				Lovecraft	Miskatonic Valley							C	
Brown University John Hay Library 	Limited	Ltd510	Location	"Water, Inside, Tome, City, Library, University, "			1				Lovecraft	Providence							C	All Professors and Students add 1 point to their card value when this card is your current Location 
Chapman Farmhouse 	Limited	Ltd511	Location	"Forest, Water, Inside, Tome, City, House, "							Lovecraft	Arkham							R	
Christchurch Cemetery (Arkham) 	Limited	Ltd512	Location	"Cemetery, Forest, Water, Outside, City, "			1				Lovecraft	Arkham							R	Remain here for a Turn and Bury one Phobia 
Christchurch Cemetery (Innsmouth)	Limited	Ltd513	Location	"Cemetery, Forest, Water, Outside, Church, City, "							Lovecraft	Innsmouth							R	You may remain here for one Turn and Bury one Phobia 
Church of Starry Wisdom 	Limited	Ltd514	Location	"Water, Inside, Tome, Gate, Church, City, "			-1				Lovecraft	Providence							U	"May use this Gate more than once when Aldebaran or another star is in play, but must pay this card's Sanity cost for each subsequent Gate use. You may remain here for one turn and Bury one Phobia "
Conanicut Island Private Hospital	Limited	Ltd515	Location	"Forest, Water, Inside, Country, Sanitorium, "			5		Yes		Lovecraft	Conanicut							U	"Gain 5 Sanity points now, but you must spend next Turn in therapy (playing no cards, and not Passing). You may remain here for one Turn and Bury one Phobia "
Crowninshield House 	Limited	Ltd516	Location	"Water, Inside, Tome, Gate, City, House, "							Lovecraft	Arkham							C	
Esoteric Order of Dagon 	Limited	Ltd517	Location	"Water, Inside, Tome, Gate, City, Society, "			-1				Lovecraft	Innsmouth							R	"May use this Gate more than once when any Storm is in play, but must pay this card's Sanity cost for each subsequent Gate use. You may remain here for one Turn and Bury one Phobia "
Faith Baptist Church 	Limited	Ltd518	Location	"Cemetery, Forest, Water, Inside, Church, City, "							Lovecraft	Innsmouth							C	You may remain here for one Turn and Bury one Phobia 
First Baptist Church 	Limited	Ltd519	Location	"Forest, Water, Inside, Church, City, "			1				Lovecraft	Providence							C	You may remain here for one Turn and Bury one Phobia 
Golden Eye Society 	Limited	Ltd520	Location	"Forest, Water, Inside, Artifact, Gate, City, Society, "							Lovecraft	Arkham							U	
Hangman's Hill 	Limited	Ltd521	Location	"Cemetery, Forest, Water, Gate, City, Site, "							Lovecraft	Arkham							R	
Home of Laban Shrewsbury 	Limited	Ltd522	Location	"Water, Inside, Artifact, City, House, "							Lovecraft	Arkham							R	
Innsmouth Courier 	Limited	Ltd523	Location	"Water, Inside, City, Press, "							Lovecraft	Innsmouth							C	All Reporters add 1 point to their value when this card is your current Location on your Story Deck 
Marsh Refining Co. 	Limited	Ltd524	Location	"Water, Inside, Tome, Gate, Business, City, "							Lovecraft	Innsmouth							U	All Marshes add 1 to their card value when this card is your current Location 
Martense Mansion 	Limited	Ltd525	Location	"Forest, Inside, Artifact, Tome, Gate, Country, House, "			-1				Lovecraft	Catskills							R	All Martense family members (including Martense Kin) add 1 point to the card value when this is your current Location 
Massachusetts State Hospital 	Limited	Ltd526	Location	"Forest, Water, Inside, Tome, Country, Sanitorium, "			4		Yes		Lovecraft	Danvers							U	"Gain 4 Sanity points, but reveal the top card of your Mythos Deck. Apply any Sanity gain or loss indicated on the card, then Discard it. You may remain here for one Turn and Bury one Phobia "
Nahum Gardner Place 	Limited	Ltd527	Location	"Forest, Inside, Artifact, Gate, Country, House, "							Lovecraft	Miskatonic Valley							U	
North Burial Ground	Limited	Ltd528	Location	"Cemetery, Forest, Outside, Gate, Country, "							Lovecraft	Providence							C	
Old Arkham Cemetery	Limited	Ltd529	Location	"Cemetery, Forest, Water, City, "							Lovecraft	Arkham							C	
Peck Valley Cemetery 	Limited	Ltd530	Location	"Cemetery, Forest, Outside, Gate, Country, "							Lovecraft	Miskatonic Valley							R	
Potter's Field 	Limited	Ltd531	Location	"Cemetery, Forest, Water, "							Lovecraft	Arkham							C	
Robert Blake's Study 	Limited	Ltd532	Location	"Artifact, Gate, City, House, "							Lovecraft	Providence							C	
Sefton Asylum 	Limited	Ltd534	Location	"Forest, Water, Inside, Tome, Country, Sanitorium, "			5		Yes		Lovecraft	Miskatonic Valley							U	"Your Electro-Shock Therapy is a success. Set aside this card and shuffle Story Deck. Randomly Discard one Story Deck card, then replace this card. You may remain here for one Turn and Bury one Phobia "
South Woods Memorial Cemetery 	Limited	Ltd535	Location	"Cemetery, Forest, Water, Outside, City, "							Lovecraft	Innsmouth							C	
St. John's Churchyard 	Limited	Ltd536	Location	"Cemetery, Forest, Water, Outside, Church, City, "							Lovecraft	Providence							R	
