Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Prof. Wingate Peaslee	B1MU	B1MU215	Ally	Steadfast Professor	"English, Latin & Chinese"	2						Lovecraft	Arkham							R	
Wilbur Whateley	B1MU	B1MU216	Ally	Corrupt Cultist	English	3			Unique			Lovecraft	Dunwich							U	"Use Wilbur to steal a Tome (cause it to be Buried) from your opponent, then Bury Wilbur"
Zachariah Whateley	B1MU	B1MU217	Ally	Steadfast Farmer	Knows no languages	2						Lovecraft	Dunwich							C	"While this card is in play, add one to the Maximum number of cards that you may keep in your Hand. Cumulative with other Allies that raise your Maximum"
Closed-Cockpit Monoplane 	B1MU	B1MU401	Event	Travel by Air																U	"Immediately play a new Location card in a different Region, right-side up on top of your Story Deck. May not play a Location within the same Region. "
Dirigible 	B1MU	B1MU402	Event	Travel by Air			1													C	"On a following turn, play any new Location card either in same Region or in a new Region, right-side up on top of your Story Deck "
Mauretania 	B1MU	B1MU403	Event	Travel by Sea																U	"On a following turn, play a new Location card featuring the Water icon in a different Region, right-side up on top of your Story Deck. May not play a new Location in the same Region "
Titanic 	B1MU	B1MU404	Event	Travel by Sea																R	"On a following turn, play a new Location card featuring the Water attribute in a different Region, right-side up on top of your Story Deck. May not play a new Location in the same Region. Remain at sea for one turn and bury one Phobia card "
Typhoon 	B1MU	B1MU405	Event	Storm																C	"Bury Travel by Sea cards currently on top of any Story Deck, returning to former location. Ignore Sanity loss/gain, no Gate use. No Travel by Sea cards may be played while this card is in play. Bury this card if any Day or Night Event is played "
Bibliotheque Nationale 	B1MU	B1MU501	Location	"Inside, Tome, City, Library, "								Europe	Paris							C	
Bishop's Brook Bridge 	B1MU	B1MU502	Location	"Forest, Outside, Gate, Country, Site, "			1					Lovecraft	Dunwich							C	
British Museum 	B1MU	B1MU503	Location	"Water, Inside, Artifact, Tome, City, Museum, "			1					Europe	London							C	"Founded in 1753. Either your Investigator or an Ally must be a Professor, Student, or Scholar to play a Tome or Artifact while this is your current Location "
Catacombs of Rome 	B1MU	B1MU504	Location	"Cemetery, Inside, Artifact, Gate, City, Underground, "								Europe	Rome							C	"Rather than playing a Monster card from your hand, you may instead use this Gate to summon a Living Dead Monster or Ally from your Story Deck to your Threat "
Chateau Des Fausses Flames 	B1MU	B1MU505	Location	"Cemetery, Forest, Inside, Artifact, Gate, City, House, "								Europe	Averoigne							R	
Cold Spring Glen 	B1MU	B1MU506	Location	"Forest, Outside, Gate, Country, Site, "								Lovecraft	Dunwich							U	
Congregational Church 	B1MU	B1MU507	Location	"Cemetery, Inside, Gate, Church, Country, "								Lovecraft	Dunwich							R	You may remain here for one Turn and Bury one Phobia 
Devil's Hop Yard 	B1MU	B1MU508	Location	"Cemetery, Outside, Gate, Country, Site, "								Lovecraft	Dunwich							U	
Exham Priory 	B1MU	B1MU509	Location	"Inside, Artifact, Tome, Country, House, "								Europe	Exham							C	
Huntingdon Asylum for Lunatics 	B1MU	B1MU510	Location	"Forest, Inside, Country, Sanitorium, "			5		Unique			Europe	Huntingdon							U	"Gain 5 Sanity points now, but you must spend next Turn i therapy (playing no cards, and not passing). You may remain here for one further Turn and Bury one Phobia "
Il Mondo Occulto 	B1MU	B1MU511	Location	"Inside, Tome, City, Press, "								Europe	Turin							R	All Reporters add 1point to their card value when this card is your current Location 
Jermyn House 	B1MU	B1MU512	Location	"Forest, Inside, Artifact, Tome, Gate, Country, House, "			-1					Europe	Huntingdon							R	
Knight's Head inn 	B1MU	B1MU513	Location	"Inside, Gate, Business, Country, "								Europe	Huntingdon							C	You may remain here for one Turn and Bury one Phobia 
La Mole Antonelliana 	B1MU	B1MU514	Location	"Outside, Artifact, Gate, City, Site, "								Europe	Turin							C	"May use this Gate more than once, but you must bury one Spiritualist, Occultist, Musician, or Artist Ally for each additional use "
Miskatonic University Medical School 	B1MU	B1MU515	Location	"Forest, Water, Inside, Gate, City, University, "								Lovecraft	Arkham							U	
Miskatonic University Memorial Hall 	B1MU	B1MU516	Location	"Forest, Water, Inside, City, University, "			1					Lovecraft	Arkham							C	All Professors and Students add 1 point to their card value when this card is your current Location 
Miskatonic University Orne Library 	B1MU	B1MU517	Location	"Forest, Water, Inside , City, University, "								Lovecraft	Arkham							C	All Professors and Students add 1 point to their card value when this card is your current Location on your Story Deck 
Miskatonic University Science Annex 	B1MU	B1MU518	Location	"Forest, Water, Inside, City, University, "								Lovecraft	Arkham							R	All Professors and Students add 1 point to their card value when this card is your current Location 
Old Mill Ruins	B1MU	B1MU519	Location	"Forest, Water, Outside, Artifact, Gate, Country, Site, "								Lovecraft	Dunwich							C	
Osborn's General Store	B1MU	B1MU520	Location	"Inside, Artifact, Business, Country, "			1					Lovecraft	Dunwich							C	
Remote Whateley Farmhouse 	B1MU	B1MU521	Location	"Inside, Tome, Gate, Country, House, "			-1					Lovecraft	Dunwich							C	All Whateley's add 1 point to their card value when this card is your current Location 
Sentinel Hill 	B1MU	B1MU522	Location	"Forest, Outside, Gate, Country, Site, "			-1					Lovecraft	Dunwich							U	
Seth Bishop Ruins 	B1MU	B1MU523	Location	"Forest, Outside, Artifact, Gate, Country, Site, "								Lovecraft	Dunwich							R	
Stonehenge 	B1MU	B1MU524	Location	"Outside, Gate, Country, Site, "								Europe	Salisbury							C	The stars are right! You may use this Gate more than once when Aldebaran Moves in the Sky or another Star is in play 
The Auction House	B1MU	B1MU525	Location	"Inside, Artifact, Tome, Business, City, "								Europe	Vienna							C	
The Catacombs Beneath Paris	B1MU	B1MU526	Location	"Cemetery, Inside, Artifact, Gate, City, Underground, "								Europe	Paris							U	"Rather than playing a Monster card from your hand, you may instead use this Gate to summon a Living Dead Monster or Ally from your Story Deck to your Threat. "
The Highland Loch	B1MU	B1MU527	Location	"Water, Outside, Artifact, Gate, Country, Site, "								Europe	Scotland							C	
The Necropolis	B1MU	B1MU528	Location	"Cemetery, Inside, Tome, Gate, Country, Site, Underground, "								Europe	Cerveteri							R	"Rather than playing a Monster card from your hand, you may instead use this Gate to resurrect a Living Dead Monster or Ally from your Story Deck to your Threat"
The Office of Dr. Freud	B1MU	B1MU529	Location	"Inside, Tome, City, Sanitorium, "			4		Unique			Europe	Vienna							U	"Each opponent reveals the top card of their Mythos Deck. If it is a Phobia, apply to you immediatly. Otherwise, Discard it. You may not bury Phobias here "
Son of Yog-Sothoth	B1MU	B1MU701	Monster	Greater Independent		4	-2	 	Unique											U	Will always bypass Whateleys. Add 2 points to the value of this card when attacking an Investigator in Dunwich
Angles if Tagh Clatur	B1MU	B1MU801	Spell	Eye			-1													C	Summon or Control a Lesser Servitor
Dominate	B1MU	B1MU802	Spell	Cthulhu			-2													C	"Replace the languages and card benefits of one of your Allies with the target Ally's languages and card benefits, for as long as your Ally remains in play. Flip target Ally"
De Vermiis Mysteriis	B1MU	B1MU901	Tome	"Eye, Folk, Water"	Laton	3	-2													R	
Eltdown Shards Winters-Hall Ed	B1MU	B1MU902	Tome	Eye	English	1														C	
Liber Ivonis	B1MU	B1MU903	Tome	"Skull, Water"	Latin	3	-2													C	
Nameless Cults Golden Goblin Ed	B1MU	B1MU904	Tome	Eye	English	1														C	
Necronomicon (Greek)	B1MU	B1MU905	Tome	"Cthulhu, Yellow Sign"	Greek	2	-2													C	Draw one additional card at the beginning of each Round while this card is in play. Not cumulative with other cards that allow you to increase hand size
Necronomicon (Latin)	B1MU	B1MU906	Tome	"Cthulhu, Skull"	Latin	3	-3													U	Draw one additional card at the beginning of each Round while this card is in play. Not cumulative with other cards that allow you to increase hand size.
