Name	Set	Image	Type	Attributes	       Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Dimension	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Text
The Muse	Movieland	Movie119	Adventure	Corrupt Adventure		9	3														"When opened and first read, NOBODY LOVES AN ALBATROS seems like a mediocre play by some standards, but on the overall, proves to cause some sanity loss to the reader.  The copy you have was given to you one morning when you met AGYRON STAVROPOLOUS in the park.  He was walking along with his WALKING STICK and a BAD AURA was all around him.  He proved to be some use when he helped discover THREE NON-GATE LOCATIONS in which to hide from the VORTEX OF PAIN."
The Pursuit Of Unhappiness	Movieland	Movie120	Adventure	Corrupt Adventure		18	6														You have found yourself UNDERGROUND and your're losing sanity fast.  You have FOUR SPELLS with EITHER THE SKULL OR EYE ICONS.  One of you THREE STEADFAST ALLIES screams as THE DEVIL (MUST BE IN PLAY) appears and grants you knowledge beyond belief.  Mr. Wang becomes more and more nervous and decides to be a hero but is horribly killed by the Devil.  In his remains you find MR. WANGS' CAMERA and decide to see what develops from the film.  The photos seem to be a trip Mr. Wang took some time ago.  He went to THREE MOVIELAND REGIONS and had a very scary picture of ADRIAN MERCATO holding ROSEMARY'S BABY in his arms.
The Unfortunate Eskimo	Movieland	Movie121	Adventure	Heroic Adventure		7	2														"Alaska is a nice place to be, when you know people like AH-TOOKI.  He takes you to the GLACIER WATER REFLECTING POOL at NIGHT to see the AURORA BOREALIS in full effect.  You gasp as you witness an UNIMAGINABLE APPARITION (TWO OF THEM BURIED IN YOUR STORY DECK).  Then you are taken to MOOSE HEAD LODGE to shake it off.  That's where you bump into TILIK-OUK-KOOK, the bouncer, who throws you out into the snow."
The Year One	Movieland	Movie122	Adventure	Corrupt Adventure		9	3														"In order to succeed with the plan to take over the world, ROMAN AND MINNIE CASTEVET attempt to unleash TWO MONSTERS OF DIFFERENT SUBTYPES on the world with the help of TWO OTHER COVENISTS.  They manage to get an unsuspecting female victim to wear the TANIS ROOT charm which helps ensure the evil spawn known as ROSEMARY'S BABY."
Uncover An Unspeakable Plot	Movieland	Movie123	Adventure	Heroic Adventure		9	3														"TWO CORRUPT ALLIES have been going around the big city to as least FOUR CITY LOCATIONS.  They seem to carry around at least TWO TOMES that you can see, but there might be more.  After felling like something is terribly wrong, you use a PAY PHONE to call anyone who will listen.  You eventually end up at THE OFFICE OF DR. HILL that same DAY and tell him all the details you know about this unspeakable plot against you."
Voyage To The Beyond	Movieland	Movie124	Adventure	Quest		9	3														"While rotting in THE MENTAL HOSPITAL for days on end, the doctors give you some reading materials to pass the time.  You fall fast asleep and begin to dream of THREE TRAVEL EVENTS FROM DIFFERENT DIMENSIONS that take you to THREE REGIONS.  You happen accross TWO ALLIES THAT ARE NOT 'ANY CITY' or 'NEW YORK'.  THey decide to travel with you and begin searching for strange and unusual things.  The only thing found, however, is an ABOMINATION that topples your already fragile sanity."
Your Big Break	Movieland	Movie125	Adventure	Corrupt Adventure		8	2														"Day after day, you suffer KAKORRHAPHIOPHOBIA, so you ask ROMAN CASTEVET for tips on becoming a success.  After he casts TWO FOLK ICON SPELLS, Roman tells you to stay by the phone and wait while he investigates TWO GATE LOCATIONS.  All of a sudden, the phone rings and it's your agent.  He tells you to TRAVEL BY YAMAHA to his office and sign some new movie deal.  I GOT THE PART! you exclaim."
Adrian Mercato	Movieland	Movie201	Ally	"Corrupt Cultist, Living Dead"	English & Glyphs	2	-2		Unique	Movieland	Past										"Can know two spells.  Add one to his value if you have Tanis Root in play.  If you have Baby's Blood & Flesh in play, you may bury one of you Artifacts to bury opponent's Ally."
Agyron Stavropolous	Movieland	Movie202	Ally	"Covenist, Corrupt Cultist"	"Arabic, English & Greek"	2	1		Unique	Movieland		Any	Any City								You must have three Covenists in play to play this card.  Bury this card to play from your hand a Greater Independent Monster as an Ally.  It cannot bear Weapons.
Ah-Tooki	Movieland	Movie203	Ally	Steadfast Dog-Musher	English & Inuit	1	0			Movieland		Alaska	Fairbanks								"While this card is in play, your current Alaska location features the Site attribute."
Almost Familiar Passengers	Movieland	Movie204	Ally	Steadfast Passengers	"English, Italian & French"	4	0			Dreamlands		Any	Any Travel By Sea								These travelers have seen places that most people only dream about.
Captain Of The 40' Yacht	Movieland	Movie205	Ally	Steadfast Dreamer & Seaman	Greek & Italian	2	0		Unique	Dreamlands		Mediterranian	Italy								"When travelling by sea, add two to the value of this card and raise all your other Steadfast Defending Allies by one point per card"
Conductor of the Girls Choir	Movieland	Movie206	Ally	Steadfast Nun	English	1	0			Dreamlands		The East	Omaha								Can know any one 'Chant' Spell.  Bury spell in your story deck when cast.  Joins other Nuns.
Dr. Abraham Sapirstein	Movieland	Movie207	Ally	"Covenist, Corrupt Doctor"	English	1	-1			Movieland		New York	New York								Add one to the value of this card if you have Tanis Root in play.  Joins Covenists.
Dr. Hill	Movieland	Movie208	Ally	Steadfast Doctor	English	1	0			Movieland		New York	New York								"""I don't believe in Withcraft but there are plenty of maniacs and crazy people in this city"" - Dr. Hill"
Dr. Shand	Movieland	Movie209	Ally	"Covenist, Corrupt Doctor & Artist"	English	1	-1		Unique	Movieland		New York	New York								Add two if you have the Tanis Root in play.  Joins other Covenists.  This is the artist who make the chain which adorns the tanis charm.
Edward 'Hutch' Hutchinson	Movieland	Movie210	Ally	"Steadfast Author, Scholar, Dreamer"	English & Latin	1	0			Movieland		New York	New York								"THIS CARD MAY BE PLAYED IN MOVIELAND OR IN THE DREAMLANDS.  Author of litterature for young boys, 'Hutch' has secret knowledge of the Bradford's checkered past."
Guy Woodhouse	Movieland	Movie211	Ally	"Covenist, Corrupt Actor"	English 	2	0		Unique	Movieland		New York	New York								Bury Guy Woodhouse to cause one opponent of your choice to bury a random Tome.  Joins Rosemary Woodhouse
Laure-Louise	Movieland	Movie212	Ally	"Covenist, Corrupt Cultist"	English	2	-1			Movieland		New York	New York								Add one to the value of this card if you have Tanis Root in play.  Joins Covenists.
Minnie Castevet	Movieland	Movie213	Ally	"Covenist, Corrupt Cultist & Wife"	English	1	0			Movieland		New York	New York								Add one to the value of this card if you have Tanis Root in play.  Joins other Covenists.  Wife to Roman Castevet.
Mitch McAlister	Movieland	Movie214	Ally	Corrupt Bush Pilot	English	1	-1			Movieland		Any 	Any Water								"Bury this card to Travel By Air to an new location in a new region featuring the water attribute, right side up on top of your story deck, including islands.  ""Don't quite know what he looks like, he won't come out of the plane"" - Pvt. Gerald Genofrio"
Mr. Wang	Movieland	Movie215	Ally	"Covenist, Corrupt Cultist  "	Japanese & English	2	1		Unique	Movieland		Any	Any City								You must have three Covenists in play to play this card.  Bury this card to play from your hand a Greater Servitor Monster as an Ally.  It cannot bear Weapons.
Mrs. Gardenia	Movieland	Movie216	Ally	"Covenist, Corrupt Cultist, Living Dead & Botanist"	English	1	-1			Movieland	Past	New York	New York Past								Add 1 to the value of this card if you have Tanis Root in play.  Can know any one spell.  Bury spell after it is cast.  Joins other covenists
Mrs. Shand	Movieland	Movie217	Ally	"Covenist, Corrupt Wife"	English	1	0		Unique	Movieland		New York	New York  								Joins with Dr. Shand.  Add two when you have Tanis Root in play.  Bury this card to play from your hand a Lesser Servitor as an Ally.  It cannot bear Weapons.
Mrs. Templeton	Movieland	Movie218	Ally	"Covenist, Corrupt Cultist"	English	1	-1		Unique	Movieland		New York	New York  								Joins with Covenists.  Add one when you have Tanis Root in play.  Bury this card to play from your hand a Lesser Independent Monster as an Ally.  It may bear weapons.
Office Nettler	Movieland	Movie219	Ally	Steadfast Cop	English	3	0		Unique	Movieland		New York	New York								To play this card you must not have Baby's Blood & Flesh in play.  You may not play Baby's Blood & Flesh while this in play.  Bury this card to cause one opponent to draw four less cards at the beginning of the next round.
Private Gerald Genofrio	Movieland	Movie220	Ally	Corrupt Seaman	English	1	0		Unique	Movieland		Alaska	Sitka								"Lower your Minimum by two cards and raise your Maximum by two cards.  Cummulative with cards that raise or lower you Maximum and Minimum.  ""He should be easy to find"" - Roman Castevet"
Roman Castevet	Movieland	Movie221	Ally	"Covenist, Corrupt Cultist"	"English, Chinese, Arabic, English & Latin"	1	-1		Unique	Movieland		New York	New York								"Add 1 to the value of this card if you have Tanis Root in play.  If you have Baby's Blood & Flesh in play, you may bury one of your Artifacts to bury opponent's ally.  Joins Covenists."
Roman Polanksi	Movieland	Movie222	Ally	Steadfast Director	English & French	1	0			Movieland		New York	New York								"THIS CARD MAY BE PLAYED IN MOVIELAND OR THE DREAMLANS.  ""Whenever I get happy, I always have a terrible feeling."" - Roman Polanski"
Rosemary Woodhouse	Movieland	Movie223	Ally	Steadfast Dreamer & Wife	English	1	0			Movieland		New York	New York								Add 1 to the value of this card if you have 'Hutch' in play.  This card can be played in Movieland or in the Dreamlands.  Joins Guy Woodhouse.
Sister Hope	Movieland	Movie224	Ally	Steadfast Nun	English	1	1			Dreamlands		The East	Omaha								Joins other Nuns
Sister Veronica	Movieland	Movie225	Ally	Corrupt Nun	English & Latin	1	-1			Dreamlands		The East	Omaha								Bury this card to cause opponent to dicard a card at random from their hand.  Joins other Nuns.
Stella Lauden	Movieland	Movie226	Ally	Corrupt Author	English	1	0			Movieland		New York	New York								"Author of ""Withcraft, Book of Ceremonial Magic"""
Tch-Kuloo	Movieland	Movie227	Ally	Corrupt Storyteller	English & Inuit	2	-1			Movieland		Alaska	Nome								Can know any one spell.  Bury spell after casting.  Bury this card to bury a Great Old One or Outer God.
The Pope	Movieland	Movie228	Ally	Corrupt Cultist & Dreamer	All Languages	1	0		Unique	Dreamlands		Any	Any Church								"Flip this card to use attributes from one opponent's current location.  Counts as a Priest.  ""No Pope ever visits a city where the newspapers are on stike."" - Roman Castevet"
Theresa Genofrio	Movieland	Movie229	Ally	Steadfast Drug Addict	English 	1	0			Movieland		New York	New York  								"Taken in by the Castevets, she is rehabilitated and made to wear a powerful smelling Tanis Root charm.  ""I knew she wouldn't be open minded"" - Minnie Castevet"
Tilik-Ouk-Kook	Movieland	Movie230	Ally	Corrupt Bouncer	English & Inuit	3	0			Movieland		Alaska	Juneau								Add one to this card while at any Lodge or Tavern.  Raises all your other defending allies by one point per card.  Cumulative with other allies' command ability.
Trench Sisters	Movieland	Movie231	Ally	"Covenist, Corrupt Cultist, Living Dead"	English & Glyphs	2	-2		Unique	Movieland	Past	New York	New York Past								"Add two to the value of this card when you have Tanis Root in play.  Can know any one spell.  Bury spell after it is cast.  While Baby's Blood and Flesh in play, can know two spells instead."
Baby's Blood & Flesh	Movieland	Movie301	Artifact				-2		Unique	Movieland											"""They killed and ate several young children, including a niece."" - Edward 'Hutch' Hutchison"
Blunt Object	Movieland	Movie302	Artifact	Weapon		1	0														"Joins with Allies.  In a desperate attempt to evade her captors, Rosemary uses a telephone as an effective weapon."
Carving Knife	Movieland	Movie303	Artifact	Weapon		2	0														"""It slices, it dices!"" - Door-to-door salesman"
Marijuana	Movieland	Movie304	Artifact		Affects Travel Between Dimensions		1														Bury this card to play a Dreamlands Travel card right-side-up on top of your story deck regardless of your current dimension and travel restrictions.
Masonic Barometer	Movieland	Movie305	Artifact				-1		Unique	Dreamlands											Bury this card to bury a Storm event in play.  OR  Bury this card to bury a Star event in play.
Mr. Wang's Camera	Movieland	Movie306	Artifact				-1		Unique	Movieland											Flip this card to play an Ally from your hand that you or an opponent already has in play.  Regardless of location or attribute requirements.  Other restrictions still apply.
Purse	Movieland	Movie307	Artifact						Unique	Movieland											"Discard this card and play an artifact from your hand that would be legal to play at any location in your Story Deck, including Exotic."
Scrabble	Movieland	Movie308	Artifact		Affects Your Opponent's Investigator					Movieland											Bury this card to cause one chosen opponent to re-roll their investigator.  That player may play a Travel Event or a new location to not play Scrabble.
Syringe	Movieland	Movie309	Artifact	Weapon		1	1														"""It's nothing but a mild sedative to calm you down."" - Dr. Abraham Sapirstein, MD"
Tanis Root	Movieland	Movie310	Artifact	Enchanted Weapon	Affects Your Allies		-1			Movieland											"Also known as Devil's Pepper, Tanis Root is actually a fungus, or some type of mold.  It is given as a gift in the form of a lucky charm for an unsuspecting victim to wear.  The charm is rumoured to be over 300 years old."
Vodka Blush	Movieland	Movie311	Artifact							Movieland											"While this card is in play, all of your Dreamers add one to their value."
Walking Stick	Movieland	Movie312	Artifact						Unique	Movieland											"This card has a constant effect.  Raise your investigator's Education by two points, to a maximum of twenty one."
40' Yacht	Movieland	Movie401	Event	"Artifact, Water, Outside"	Travel By Sea					Dreamlands											"On a following turn, play a new location featuring water attribute either in the same region or a different region, right-side-up on top of your Story Deck.  This card may only be played if your are currently at a water location."
Aurora Borealis	Movieland	Movie402	Event				1			Movieland											"Frozen In Time.  It must currently be Night to play this.  When any player plays an adventure card, that player may keep one random Story Deck card in their new Story Deck, not cummulative with other Aurora Borealis in play.  Bury this during the day."
Cab	Movieland	Movie403	Event	Inside	Travel By Land					Movieland											"You may remain in the Cab or, immediately play a new location in the same region right-side-up on top of your Story Deck.  During combat, if this is your current location, reduce one chosen directed threat by one point per card."
Coincidence	Movieland	Movie404	Event	Threat Event	Affects your current location		-1		Unique	Movieland											You are considered to be at the same location as opponent to which this threat is directed.  Bury this card when revealed if opponent is at an Exotic location or in a different dimension than your own.
Heat Wave	Movieland	Movie405	Event	Day																	All investigators in the city must flip over all Allies that do not speak Arabic.  All investigators in the city who do not speak Arabic must pay one sanity when heat wave is played.
Hidden Door	Movieland	Movie406	Event							Movieland											"Immediately play a location from your Story Deck as if walking.  Must walk to same dimension.  When that location becomes your current location, ignore sanity gain or loss, may use gate."
I Got The Part!	Movieland	Movie407	Event	Star					Unique	Movieland											Star.  Play only if you have a Covenist in play.  This event counts as one requirement towards an adventure.  Bury this event if any player plays an adventure.  Discard this event when used.  * Errata: This is a Star event
Kakorrhaphiphobia	Movieland	Movie408	Event	Phobia																	"Fear of failure.  Lose one sanity at the beginning of each turn that your opponent has more adventure points than you.  If the investigator who played this card does not have any completed adventures, bury this card."
King Size Matress	Movieland	Movie409	Event	"Water, Outside"	Travel By Sea					Dreamlands											"On a following turn, walk to a location featuring water attribute either in the same region or a different region.  If you have a Dreamer in play, you may walk to a different dimension, including Exotic.  Remain here to bury a Phobia."
Mob Attack!	Movieland	Movie410	Event				-1			Movieland											"Cause one opponent to suffer a three point attack.  If opponent has Baby's Blood & Flesh in play, that opponent suffers a five point attack instead.  Allies may defend."
Mouse Bite	Movieland	Movie411	Event		Poison		-1			Movieland											"Cause one opponent to bury a random Ally.  If you have Baby's Blood & Flesh in play, you may cause opponent to discard an Ally of your choice instead."
Nyctophobia	Movieland	Movie412	Event	Phobia					Unique												Fear of Night.  Lose one sanity if it is currently Night and at the beginning of each turn that it is Night.
Oh No! The Carpet!	Movieland	Movie413	Event							Movieland											"Play this card only if opponent has Roman Castevet in play and you have Minnie Castevet in play.  That opponent must remain doing nothing and not pass as their next turn.  This does not cancel a pass.  ""He's So Clumsy!"" - Minnie Castevet"
Pain Be Gone	Movieland	Movie414	Event				2			Movieland											Play this card only if you have an unflipped Doctor in play along side your investigator.
Paranoia	Movieland	Movie415	Event	Phobia																	Fear of plots against you.  Lose one sanity if any opponent has an Artifact in play with a red sanity pentagram and each time any opponent plays an Artifact that has a red sanity pentagram.
Party!	Movieland	Movie416	Event				-1														"Draw two cards from the top of your Mythos Deck.  If they are not allies from your current dimension, they are discarded.  If they are allies from your current dimension, they are immediately put into play along side your investigator regardless of location restrictions.  Other restrictions still apply."
Pharmacophobia	Movieland	Movie417	Event	Phobia																	Fear of being drugged.  Lose one sanity at the beginning of each turn that you control a Corrupt Ally.
Rabies	Movieland	Movie418	Event	Epidemic																	Flip all chosen opponent's Allies.  Other opponent's Allies in the same subregion are also flipped.
Seplophobia	Movieland	Movie419	Event	Phobia						Movieland											Fear of decaying matter.  Lose one sanity if you are currently in a cemetary and at the beginning of each turn that you are in a cemetary.
The Elevator Of The Bradford	Movieland	Movie420	Event	Inside	Travel By Elevator					Movieland											"You must be at the Bradford to play this card.  Unless you are the Neglected Elevator Operator, lose one sanity at the beginning of each turn that you are here.  Opponents may not play Townsfolk Riot, Mob Attack or Terrorist Strike on you while you are in the Elevator."
The Fire-Escape	Movieland	Movie421	Event	Outside	Travel By Fire-Escape					Movieland											"You must be at the Bradford to play this card.  Lose one Sanity at the beginning of each turn that you are on The Fire-Escape.  On a following turn, return to any Bradford location in your Story Deck or play a new Bradford location."
The Tender Of The 40' Yacht	Movieland	Movie422	Event	"Water, Outside"	Travel By Sea																"On a following turn, play a new location featuring the water attribute, rith-side-up on top of your Story Deck.  If you have a Dreamer in play, you may play a Travel By Sea from any dimension."
Unspeakable Darkness	Movieland	Movie423	Event	Night						Movieland											Bury any Day or Night card in play.  It is now Night.
Very Weird Dream	Movieland	Movie424	Event		Travel By Astral Projection																"May not be played in the Dreamlands.  On a following turn, play a new location featuring the Dreamlands icon (not Exotic), right-side-up on top of your Story Deck."
Wiccaphobia	Movieland	Movie425	Event	Phobia																	"Fear of witchcraft.  Lose one sanity whenever any player, including you, casts a spell.  Sanity loss occurs at the moment that each spell is cast."
Yamaha Motorcycle	Movieland	Movie426	Event		Travel By Yamaha					Movieland											"Immediately play a new location in the same region, right-side-up on top of your Story Deck.  You may draw a card from the top of your Mythos Deck instead of immediately playing a new location."
Bewildered Apartment House Manager	Movieland	Movie001	Investigator		English										12	20	12	13	3	6	Ignore Red Sanity Pentagrams of Bradford Locations that become your Current Location.
Neglected Elevator Operator	Movieland	Movie002	Investigator												12	20	12	13	3	6	You may Re Roll this Investigator to fulfull any one Bradford Location Requirement on an Adventure Card.
Apt. 7-D of The Bradford	Movieland	Movie501	Location	"Water, Forest, Inside, Gate, City, Artifact, Tome"			-1			Movieland		New York	New York								"While this is your current location, you may spend one sanity to recover one Covenist from your Story Deck to your hand.  Home to Minnie & Roman Castevet."
Apt. 7-E of The Bradford	Movieland	Movie502	Location	"Water, Forest, Inside, CIty"			1			Movieland		New York	New York								Add one to the value of Guy Woodhouse and Rosemary Woodhouse while this is your current location.  Home to Guy & Rosemary Woodhouse.
Apt. 9-B of The Bradford	Movieland	Movie503	Location	"Water, Forest, Inside, City"			-1		Unique	Movieland		New York	New York								Add two to the value of all your female Allies and all your female Allies must absorb their full value before Dying in combat while this is your current location.
Bushman's Lodge	Movieland	Movie504	Location	"Water, Inside, Cemetary, Australia, City, Tome"					Unique	Movieland		Australia	Sydney								Use this gate to play monsters as Allies.  May reuse gate but pay two sanity each time.  Flip one of your Allies to draw a card from the top of your Mythos Deck.
Central Park	Movieland	Movie505	Location	"Water, Forest, Outside, Gate, Country"			-1			Movieland		New York	New York								You may use this gate to give the Past attribute to this location.  You must spend a turn to end this effect before travelling.
Discount Books	Movieland	Movie506	Location	"Water, Forest, Inside, City, Business, Tome"						Movieland		New York	New York								"They carry almost everything, and they can order the rest."
Edward Hutchins' Apt.	Movieland	Movie507	Location	"Water, Forest, Inside, City, Tome"			1			Movieland		New York	New York								"During combat, reduce each directed threat attacking your investigator by one point."
Forbidden Staircase	Movieland	Movie508	Location	"Water, Forest, Inside, Gate, Country, Site, Ruins"			-2			Dreamlands		Exotic	Exotic								You must use a Dreamlands Travel card to get to this location.  You must walk to Movieland when leaving this location.
Glacier Water Reflecting Pool	Movieland	Movie509	Location	"Water, Forest, Outside, Alaska, Country, Artfact"			1			Movieland		Alaska	Fairbanks								Remain here for a turn to draw a card from the top or bottom of your Mythos Deck.
Guy Woodhouse's House	Movieland	Movie510	Location	"Water, Forest, Inside, City, House, Tome  "			-1		Unique	Movieland		Maryland	Baltimore								You may play Guy Woodhouse from your hand or from you Story Deck while this is your current location.  You may find Tomes in English at no sanity cost at this location if you have Guy Woodhouse in play.
Kennedy Airport	Movieland	Movie511	Location	"Water, Forest, Outside, Cemetary, City, Business, Artifact"			-1			Movieland		New York	New York								Found your luggage!  Remain here for a turn to recover an Artifact from your Story Deck to your hand.  One Artifact only for each Kennedy Airport card played.
Mediteranean Yacht Club	Movieland	Movie512	Location	"Water, Outside, Country"			1			Dreamlands		Mediterranian	Italy								You may remain here for a turn to bury a Phobia.
Moose Head Lodge	Movieland	Movie513	Location	"Water, Forest, Inside, Alaska, City, Lodge, Artifact"			1			Movieland		Alaska	Juneau								"Remain here for a turn to bury a phobia.  Gain one sanity each time that you bury a phobia in this way.  While at this location, your investigator's Maximum Sanity is increased by five points."
