Name	Set	Image	Type	Attributes	Languages	Value	Sanity	Summon	Unique	Dimension	Past	Region	City	Beginning Sanity	Max Sanity	Education	Hand Size	Minuimum	Maximum	Rarity	Text
Lightning Gun 	Std Steafast	StdS305	Artifact	Enchanted Weapon		1	-1													F	"Add 1 point to Ally's value. One Weapon per Ally. If Ally is Discarded or Buried, this revolver suffers the same fate. If this weapon causes Sanity loss to your opponent's Allies or Investigator, it also destroys (Buries) a random Artifact of opponent"
Tiara of Opulent Fantasy 	Std Steafast	StdS306	Artifact				-1													F	"Costs 1 point of Sanity to use. Replace all of the attributes (not Title or Special Effects) of your Current Location with all of the attributes on your target's Current Location. If you use a Gate, rotate your own Location card. Flip this card when used"
Agoraphobia 	Std Steafast	StdS401	Event	Phobia																F	"Fear of Open Places. At the beginning of your Turn, lose 1 Sanity point if the top card of your Story Deck features the Outside attribute. "
Cthulhu Rising 	Std Steafast	StdS402	Event				-2		Unique											F	"Your opponent must Discard his or her Current Location if it features the Water attribute, otherwise Bury it. Then, Bury this card. "
Downpour 	Std Steafast	StdS403	Event	Storm																F	While this card is in play you must walk to all City Locations. Travel Events may be played normally. Bury this card if any Day or Night Event is played. 
Evening	Std Steafast	StdS404	Event	Night																	"It is now Night. Buiry any Day or Night cards in play. When this card is played, the player may Discard one card from his or her hand and replace it with the top card of his or her Mythos Deck."
High Noon 	Std Steafast	StdS405	Event	Day																F	"It is now Day. Bury any Night or Day Event in play. At the moment that this card is played, all Corrupt Allies with Weapons are Flipped face-down. "
Portophobia	Std Steafast	StdS406	Event	Phobia																	"At the beginning of your Turn,  lose 1 Sanity point if your Current Location features the Gate attribute"
Train (v2)	Std Steafast	StdS407	Event	Travel by Land																C	"On a following Turn, play a new Location in the same Region, right-side up on top of your Story Deck. Or, remain on the Train for a Turn to play any Ally card that could be played in this Region (only 1 Ally per Train card played). "
Train (v3)	Std Steafast	StdS408	Event	Travel by Land																C	"On a following Turn, play a new Location in the same Region, right-side up on top of your Story Deck. Or, remain on the Train for a Turn to play any Ally card that could be played in this Region (only 1 Ally per Train card played). "
Gifted Musician	Std Steafast	StdS409	Investigator		English									14	20	12	13	3	5		"During the Discard phase, you must keep at least this minimum number of cards in your hand. You may keep up to this Maximum. If you have fewer than your Minimum, you may not Discard any; if you have more than your Maximum, you must Discard some"
Soulful Jazz Singer	Std Steafast	StdS002	Investigator		English									12	20	15	13	4	6		"During the Discard phase, you must keep at least this minimum number of cards in your hand. You may keep up to this Maximum. If you have fewer than your Minimum, you may not Discard any; if you have more than your Maximum, you must Discard some"
American Museum of Natural History 	Std Steafast	StdS501	Location	"Water, Inside, Artifact, City, Museum, "								Lovecraft	New York							F	
Arkham Gazette 	Std Steafast	StdS502	Location	"Water, Inside, Tome, Business, City, Press, "								Lovecraft	Arkham							F	
Arkham Police Department	Std Steafast	StdS503	Location	"Water, Inside, Artifact, Business, City, "								Lovecraft	Arkham							F	"If this is your Current Location during Combat, reduce each Directed Threat attacking you by 1 point when Threats are revealed. "
Bellevue Hospital 	Std Steafast	StdS504	Location	"County, New York , City, Sanitorium, "			5		Unique			Lovecraft	New York							F	"Gain 5 Sanity points now, but you must spend next Turn in hydrotherapy (play no cards, do not Pass). During each additional Turn that you remain here you may Bury one Phobia affecting your Investigator "
Boston & Maine Train Station 	Std Steafast	StdS505	Location	"Forest, Water, Outside , Tome, Gate, City, Station, "								Lovecraft	Arkham							F	"You may play this card immediately after playing a Train Travel by Land Event, on the same turn. "
Central Hill 	Std Steafast	StdS506	Location	"Cemetery, Water, Outside, Tome, City, Site, "								Lovecraft	Kingsport							F	
Chelsea Book Shop 	Std Steafast	StdS507	Location	"Forest, Water, Inside, Tome, Business, City, "								Lovecraft	New York							F	
Essex Institute 	Std Steafast	StdS508	Location	"Forest, Water, Inside, Country, Sanitorium, "			5		Unique			Lovecraft	Salem							F	Trepanning is fun! Randomly Discard one card from your Hand. During each additional Turn that you remain here you may Bury one Phobia affecting your Investigator 
Granny Orne's House 	Std Steafast	StdS509	Location	"Forest, Water, Inside, Artifact, City, House, "								Lovecraft	Kingsport							F	
Martin's Beach	Std Steafast	StdS510	Location	"Forest, Water, Outside, Artifact, Gate, Country, Village"								Lovecraft	Miskatonic Valley							F	
Miskatonic University Commons 	Std Steafast	StdS511	Location	"Forest, Water, Outside, Gate, City, University, "								Lovecraft	Arkham							F	All of your Professors and Students add 1 point to their card value while card is your Current Location 
Miss Greene's Home 	Std Steafast	StdS512	Location	"Artifact, City, House, "								Lovecraft	New York							F	
Old Congregational Church	Std Steafast	StdS513	Location	"Cemetery, Forestm Water, Inside, Church, City, "								Lovecraft	Kingsport							F	For each additional Turn that you remain here you may Bury one Phobia affecting your Investigator 
Penn Central Train Station 	Std Steafast	StdS514	Location	"Water, Inside, City, Station, "								Lovecraft	New York							F	"You may play this card immediately after playing a Train Travel by Land Event, on the same turn. "
Red Hook 	Std Steafast	StdS515	Location	"Water, Outside, Artifact, Gate, City, Site, "			-1					Lovecraft	New York							F	
The House on Water Street	Std Steafast	StdS516	Location	"Forest, Water, Inside, Artifact, Gate, City, House, "			-1					Lovecraft	Kingsport							F	
The Old Gibbett	Std Steafast	StdS517	Location	"Cemetery, Forest, Water, Artifact, Gate, Country, Site, "								Lovecraft	Kingsport							F	
Deep One (v1)	Std Steafast	StdS701	Monster	Lesser Servitor		1														C	Add 2 points to the value of this card if any Storm Event is in Play. Joins with Deep Ones.
Hunting Horror (v1)	Std Steafast	StdS702	Monster	Greater Servitor		3	-1													C	Add 1 point to the value of this card during the Day. Joins Hunting Horrors.
Hunting Horror (v2)	Std Steafast	StdS703	Monster	Greater Servitor		3	-1													C	Add 1 point to the value of this card during the Day. Joins Hunting Horrors.
Insect from Shaggai (v1)	Std Steafast	StdS704	Monster	Lesser Independent		2														C	Each Insect surviving the Cosmic Battle devours (Buries) one spell of opponent chosen by the player of the Insect card. Joins Insects from Shaggi
Insect from Shaggai (v2)	Std Steafast	StdS705	Monster	Lesser Independent		2														C	Each Insect surviving the Cosmic Battle devours (Buries) one spell of opponent chosen by the player of the Insect card. Joins Insects from Shaggi
The Martin's Beach Monster	Std Steafast	StdS706	Monster	Greater Independent		4	-2		Unique											F	"Able to paralyze victims. When Directed Threat is revealed, randomly choose two of your opponent's Allies (Defending or not) and Flip cards face-down"
Blasphemous Obeisance	Std Steafast	StdS801	Spell	Skull			-2													F	May only be cast during Combat. Return a random card in the target Directed Threat to that player's Hand.
Letter From a Friend	Std Steafast	StdS901	Tome	Skull	English	1														F	
